farmer_id,age,gender,location_state,education_level,marital_status,dependants,farm_type,farm_size_acres,years_of_experience,access_to_extension_services,access_to_irrigation,mobile_phone_access,financial_literacy_level,has_bank_account,previous_loan_history,previous_loan_amount,previous_loan_repaid,total_annual_income,other_income_sources,group_membership,gps_latitude,gps_longitude,credit_score,creditworthy
F0000,26,Female,Kano,,Married,1,,5,3,TRUE,FALSE,FALSE,52,TRUE,TRUE,,FALSE,0,None,TRUE,7.6445,4.1716,27,No
F0001,20,Female,Kaduna,Primary,Single,0,Crop,1.5,6,TRUE,TRUE,TRUE,49,FALSE,TRUE,82984.17,TRUE,4235310,None,FALSE,7.6259,6.8592,31,Yes
F0002,31,Female,Kano,Secondary,Married,2,Crop,4.8,3,TRUE,TRUE,FALSE,52,FALSE,TRUE,0,FALSE,2742894,Trading,TRUE,9.8415,3.2229,30,No
F0003,23,Female,Enugu,Secondary,Single,0,Crop,4.1,6,TRUE,FALSE,TRUE,67,TRUE,TRUE,0,FALSE,900000,Trading,FALSE,6.6288,7.8117,37,No
F0004,20,Female,Kano,Secondary,Single,0,Mixed,1.8,8,FALSE,TRUE,TRUE,57,FALSE,TRUE,59162.28,TRUE,3938040,None,TRUE,9.4131,7.2808,41,Yes
F0005,35,Male,Benue,Primary,Married,0,Crop,2.1,9,FALSE,FALSE,TRUE,59,TRUE,FALSE,0,FALSE,902466,None,TRUE,7.7102,3.8043,20,No
F0006,34,Male,Kaduna,Secondary,Married,2,Crop,2.4,4,TRUE,FALSE,TRUE,85,TRUE,FALSE,0,FALSE,2273895,None,FALSE,9.3278,5.0176,32,No
F0007,21,Female,Enugu,Secondary,Single,0,Livestock,1.4,1,TRUE,TRUE,TRUE,14,FALSE,TRUE,59654.11,TRUE,2618730,None,TRUE,9.8621,4.8867,42,Yes
F0008,23,Male,Benue,Primary,Single,0,Livestock,2.4,1,FALSE,FALSE,TRUE,54,TRUE,TRUE,51634.93,TRUE,5087097,Trading,FALSE,6.7343,7.1046,22,Yes
F0009,30,Male,Oyo,Primary,Married,0,Crop,4.7,2,TRUE,FALSE,TRUE,61,TRUE,TRUE,50821.55,TRUE,4079313,None,FALSE,8.1123,4.0104,34,Yes
F0010,29,Male,Oyo,Primary,Married,2,Crop,4,2,TRUE,TRUE,TRUE,49,FALSE,TRUE,67451.51,TRUE,5409864,Trading,TRUE,9.3979,5.6642,37,Yes
F0011,20,Male,Benue,Secondary,Married,0,Livestock,1.8,3,FALSE,TRUE,FALSE,45,FALSE,TRUE,11426.67,TRUE,4967154,Trading,FALSE,6.2467,5.2503,28,No
F0012,34,Female,Kaduna,Primary,Married,0,Mixed,3,6,TRUE,FALSE,TRUE,39,FALSE,TRUE,39849.21,TRUE,2817747,Trading,FALSE,7.9964,3.5507,19,Yes
F0013,23,Female,Oyo,None,Single,0,Livestock,1.6,2,FALSE,TRUE,TRUE,56,TRUE,TRUE,73295.2,TRUE,4146534,None,FALSE,8.601,3.4521,29,Yes
F0014,27,Female,Kano,,Single,0,,2,4,FALSE,FALSE,TRUE,56,TRUE,TRUE,,TRUE,0,None,TRUE,9.1938,6.5361,38,Yes
F0015,22,Male,Benue,Primary,Married,2,Crop,2.5,4,TRUE,TRUE,TRUE,48,TRUE,TRUE,45162.42,TRUE,5698872,Trading,TRUE,6.8843,6.6461,36,Yes
F0016,24,Male,Oyo,Secondary,Married,1,Crop,2.6,3,TRUE,FALSE,TRUE,67,TRUE,TRUE,99167.39,TRUE,3718089,Trading,TRUE,8.0787,3.9529,52,Yes
F0017,18,Female,Enugu,None,Single,0,Mixed,4.1,6,TRUE,FALSE,TRUE,64,TRUE,FALSE,0,FALSE,3328011,Trading,FALSE,6.2498,4.9197,27,No
F0018,26,Female,Oyo,Secondary,Married,7,Mixed,3.9,6,FALSE,FALSE,TRUE,52,TRUE,TRUE,17493.19,TRUE,4565592,Trading,TRUE,9.1317,5.2133,45,Yes
F0019,29,Male,Kaduna,Primary,Single,1,Mixed,2.9,6,TRUE,TRUE,FALSE,64,TRUE,TRUE,75118.11,TRUE,4895163,None,FALSE,6.1172,6.0905,29,Yes
F0020,29,Female,Kaduna,Secondary,Married,1,Crop,4.9,6,TRUE,TRUE,TRUE,63,TRUE,TRUE,21313.53,TRUE,5010093,None,FALSE,9.6012,6.3241,51,Yes
F0021,18,Female,Kano,Secondary,Single,0,Mixed,1.7,7,TRUE,FALSE,FALSE,34,FALSE,FALSE,0,FALSE,2033874,None,FALSE,9.6785,4.556,20,No
F0022,35,Female,Benue,Primary,Single,2,Crop,1.7,1,FALSE,FALSE,TRUE,78,FALSE,FALSE,0,FALSE,2878551,Trading,FALSE,8.1031,6.5905,15,No
F0023,32,Male,Oyo,None,Married,6,Mixed,2.1,7,TRUE,TRUE,TRUE,67,TRUE,TRUE,77514.47,TRUE,5438754,Trading,FALSE,7.1116,5.4909,45,Yes
F0024,35,Female,Kaduna,Primary,Married,1,Livestock,3.1,8,TRUE,FALSE,FALSE,56,FALSE,TRUE,14300.32,TRUE,4816053,None,FALSE,7.5842,3.9958,15,No
F0025,20,Female,Kaduna,Tertiary,Married,4,Crop,4.8,8,FALSE,TRUE,TRUE,46,TRUE,TRUE,0,FALSE,2231496,Remittances,FALSE,8.0608,6.8733,28,No
F0026,31,Female,Oyo,Secondary,Single,2,Livestock,1.8,5,TRUE,FALSE,TRUE,66,TRUE,TRUE,15724.13,TRUE,3537675,None,FALSE,9.9874,5.1517,46,Yes
F0027,29,Female,Benue,Primary,Single,0,Mixed,4.8,3,FALSE,TRUE,TRUE,61,TRUE,TRUE,16349.51,TRUE,4396401,Remittances,FALSE,8.6318,7.1195,34,Yes
F0028,25,Female,Benue,Secondary,Married,3,Crop,3.4,2,TRUE,TRUE,FALSE,45,FALSE,FALSE,0,FALSE,2975031,None,FALSE,7.5344,5.1219,26,No
F0029,27,Male,Kano,Primary,Married,4,Crop,1.3,8,TRUE,TRUE,FALSE,88,TRUE,TRUE,79432.6,TRUE,4268142,Remittances,FALSE,8.7327,3.2617,35,Yes
F0030,30,Male,Enugu,Secondary,Single,0,Crop,3.1,2,TRUE,TRUE,TRUE,21,FALSE,FALSE,0,FALSE,2295207,Trading,FALSE,8.9191,6.6773,27,No
F0031,24,Male,Oyo,Tertiary,Single,0,Mixed,2.8,3,FALSE,FALSE,TRUE,55,TRUE,TRUE,40275.44,TRUE,3512007,None,FALSE,8.7854,6.3599,32,Yes
F0032,18,Female,Oyo,,Married,4,,3.9,1,TRUE,FALSE,FALSE,42,FALSE,TRUE,,FALSE,0,None,FALSE,7.6135,6.3824,7,No
F0033,18,Female,Benue,Primary,Single,0,Livestock,4.9,8,TRUE,TRUE,TRUE,58,TRUE,TRUE,89353.81,TRUE,4793292,Remittances,FALSE,6.3465,6.3458,40,Yes
F0034,31,Female,Oyo,Secondary,Married,0,Crop,4.4,3,TRUE,TRUE,TRUE,73,TRUE,TRUE,92868.08,TRUE,3967848,None,FALSE,8.3856,4.8301,50,Yes
F0035,30,Male,Kaduna,Primary,Married,5,Crop,3.9,8,TRUE,TRUE,TRUE,86,TRUE,TRUE,37513.19,TRUE,4342239,None,FALSE,9.1179,6.8359,41,Yes
F0036,24,Male,Benue,Tertiary,Married,1,Crop,3.7,2,FALSE,TRUE,TRUE,84,TRUE,TRUE,64872.02,TRUE,3784104,None,TRUE,8.7107,4.1337,54,Yes
F0037,35,Female,Enugu,None,Single,0,Crop,2.6,2,TRUE,TRUE,TRUE,77,TRUE,TRUE,38851.08,TRUE,3746970,None,TRUE,8.2891,5.2093,46,Yes
F0038,35,Male,Kaduna,Primary,Married,1,Livestock,4.5,8,FALSE,FALSE,TRUE,34,FALSE,TRUE,0,FALSE,3302469,None,FALSE,8.1103,6.2772,10,No
F0039,28,Male,Benue,Primary,Married,2,Livestock,4.2,3,TRUE,FALSE,TRUE,59,TRUE,TRUE,37407.09,TRUE,3176559,None,TRUE,6.9088,5.032,30,Yes
F0040,30,Female,Kaduna,Tertiary,Married,1,Crop,3.8,7,TRUE,TRUE,TRUE,53,TRUE,TRUE,0,FALSE,1585800,None,FALSE,9.5474,7.4443,36,No
F0041,28,Male,Enugu,None,Married,3,Crop,1.6,4,FALSE,TRUE,FALSE,50,FALSE,TRUE,49771.71,TRUE,4350852,None,FALSE,9.1599,6.1965,20,No
F0042,20,Male,Kano,Tertiary,Single,0,Crop,3.2,9,TRUE,TRUE,FALSE,69,FALSE,TRUE,0,FALSE,1870371,Trading,FALSE,9.9968,4.4342,25,No
F0043,21,Female,Kano,Primary,Single,0,Mixed,3.5,6,FALSE,FALSE,TRUE,38,FALSE,TRUE,11352.03,TRUE,4891572,None,FALSE,6.5531,5.1306,20,No
F0044,19,Female,Kaduna,,Married,4,,4.3,6,TRUE,TRUE,TRUE,85,TRUE,TRUE,,TRUE,0,None,FALSE,6.7517,3.7403,50,Yes
F0045,26,Female,Kano,Secondary,Married,1,Livestock,1.7,6,TRUE,TRUE,TRUE,52,TRUE,TRUE,52943.17,TRUE,5020371,None,TRUE,9.73,7.2975,52,Yes
F0046,19,Female,Enugu,Secondary,Single,0,Crop,4.8,8,FALSE,TRUE,TRUE,74,TRUE,TRUE,92666.94,TRUE,3998583,Remittances,TRUE,7.4666,6.0956,45,Yes
F0047,25,Male,Enugu,Secondary,Married,5,Crop,4.5,9,TRUE,FALSE,TRUE,32,TRUE,TRUE,37575.89,TRUE,5482890,None,TRUE,7.71,6.6642,42,Yes
F0048,25,Female,Benue,Primary,Married,1,Crop,1,7,TRUE,FALSE,TRUE,45,TRUE,TRUE,94299.52,TRUE,4418451,None,FALSE,7.9314,6.2968,21,Yes
F0049,25,Female,Oyo,Tertiary,Married,3,Crop,1.2,1,TRUE,FALSE,TRUE,87,TRUE,FALSE,0,FALSE,2373597,None,FALSE,6.8023,4.0768,37,No
F0050,32,Female,Benue,Primary,Married,0,Mixed,1.7,4,TRUE,FALSE,TRUE,68,TRUE,TRUE,46273.49,TRUE,5189895,Trading,FALSE,8.5526,4.6028,35,Yes
F0051,27,Female,Kano,,Married,0,,4.5,4,TRUE,TRUE,FALSE,52,TRUE,FALSE,,FALSE,0,None,FALSE,6.0805,6.7636,16,No
F0052,33,Male,Kano,,Single,2,,2.5,1,TRUE,TRUE,FALSE,58,TRUE,TRUE,,TRUE,0,None,TRUE,9.3702,4.8109,45,Yes
F0053,28,Male,Kaduna,Primary,Married,0,Crop,1.5,3,TRUE,FALSE,FALSE,96,TRUE,TRUE,85146.11,TRUE,5587191,Trading,TRUE,7.7178,5.3535,29,Yes
