farmer_id,age,gender,location_state,education_level,marital_status,dependants,farm_type,farm_size_acres,years_of_experience,access_to_extension_services,access_to_irrigation,mobile_phone_access,financial_literacy_level,has_bank_account,previous_loan_history,previous_loan_amount,previous_loan_repaid,total_annual_income,other_income_sources,group_membership,gps_latitude,gps_longitude,credit_score,creditworthy
F0000,26,Female,Kano,Secondary,Married,1,Crop,5.0,3,True,False,False,52,True,True,46150.42,False,0,Trading,True,7.6445,4.1716,27,No
F0001,20,Female,Kaduna,Primary,Single,0,Crop,1.5,6,True,True,True,49,False,True,82984.17,True,4235310,Trading,False,7.6259,6.8592,31,Yes
F0002,31,Female,Kano,Secondary,Married,2,Crop,4.8,3,True,True,False,52,False,True,0.0,False,2742894,Trading,True,9.8415,3.2229,30,No
F0003,23,Female,Enugu,Secondary,Single,0,Crop,4.1,6,True,False,True,67,True,True,0.0,False,900000,Trading,False,6.6288,7.8117,37,No
F0004,20,Female,Kano,Secondary,Single,0,Mixed,1.8,8,False,True,True,57,False,True,59162.28,True,3938040,Trading,True,9.4131,7.2808,41,Yes
F0005,35,Male,Benue,Primary,Married,0,Crop,2.1,9,False,False,True,59,True,False,0.0,False,902466,Trading,True,7.7102,3.8043,20,No
F0006,34,Male,Kaduna,Secondary,Married,2,Crop,2.4,4,True,False,True,85,True,False,0.0,False,2273895,Trading,False,9.3278,5.0176,32,No
F0007,21,Female,Enugu,Secondary,Single,0,Livestock,1.4,1,True,True,True,14,False,True,59654.11,True,2618730,Trading,True,9.8621,4.8867,42,Yes
F0008,23,Male,Benue,Primary,Single,0,Livestock,2.4,1,False,False,True,54,True,True,51634.93,True,5087097,Trading,False,6.7343,7.1046,22,Yes
F0009,30,Male,Oyo,Primary,Married,0,Crop,4.7,2,True,False,True,61,True,True,50821.55,True,4079313,Trading,False,8.1123,4.0104,34,Yes
F0010,29,Male,Oyo,Primary,Married,2,Crop,4.0,2,True,True,True,49,False,True,67451.51,True,5409864,Trading,True,9.3979,5.6642,37,Yes
F0011,20,Male,Benue,Secondary,Married,0,Livestock,1.8,3,False,True,False,45,False,True,11426.67,True,4967154,Trading,False,6.2467,5.2503,28,No
F0012,34,Female,Kaduna,Primary,Married,0,Mixed,3.0,6,True,False,True,39,False,True,39849.21,True,2817747,Trading,False,7.9964,3.5507,19,Yes
F0013,23,Female,Oyo,Secondary,Single,0,Livestock,1.6,2,False,True,True,56,True,True,73295.2,True,4146534,Trading,False,8.601,3.4521,29,Yes
F0014,27,Female,Kano,Secondary,Single,0,Crop,2.0,4,False,False,True,56,True,True,46150.42,True,0,Trading,True,9.1938,6.5361,38,Yes
F0015,22,Male,Benue,Primary,Married,2,Crop,2.5,4,True,True,True,48,True,True,45162.42,True,5698872,Trading,True,6.8843,6.6461,36,Yes
F0016,24,Male,Oyo,Secondary,Married,1,Crop,2.6,3,True,False,True,67,True,True,99167.39,True,3718089,Trading,True,8.0787,3.9529,52,Yes
F0017,18,Female,Enugu,Secondary,Single,0,Mixed,4.1,6,True,False,True,64,True,False,0.0,False,3328011,Trading,False,6.2498,4.9197,27,No
F0018,26,Female,Oyo,Secondary,Married,5,Mixed,3.9,6,False,False,True,52,True,True,17493.19,True,4565592,Trading,True,9.1317,5.2133,45,Yes
F0019,29,Male,Kaduna,Primary,Single,1,Mixed,2.9,6,True,True,False,64,True,True,75118.11,True,4895163,Trading,False,6.1172,6.0905,29,Yes
F0020,29,Female,Kaduna,Secondary,Married,1,Crop,4.9,6,True,True,True,63,True,True,21313.53,True,5010093,Trading,False,9.6012,6.3241,51,Yes
F0021,18,Female,Kano,Secondary,Single,0,Mixed,1.7,7,True,False,False,34,False,False,0.0,False,2033874,Trading,False,9.6785,4.556,20,No
F0022,35,Female,Benue,Primary,Single,2,Crop,1.7,1,False,False,True,78,False,False,0.0,False,2878551,Trading,False,8.1031,6.5905,15,No
F0023,32,Male,Oyo,Secondary,Married,5,Mixed,2.1,7,True,True,True,67,True,True,77514.47,True,5438754,Trading,False,7.1116,5.4909,45,Yes
F0024,35,Female,Kaduna,Primary,Married,1,Livestock,3.1,8,True,False,False,56,False,True,14300.32,True,4816053,Trading,False,7.5842,3.9958,15,No
F0025,20,Female,Kaduna,Tertiary,Married,4,Crop,4.8,8,False,True,True,46,True,True,0.0,False,2231496,Remittances,False,8.0608,6.8733,28,No
F0026,31,Female,Oyo,Secondary,Single,2,Livestock,1.8,5,True,False,True,66,True,True,15724.13,True,3537675,Trading,False,9.9874,5.1517,46,Yes
F0027,29,Female,Benue,Primary,Single,0,Mixed,4.8,3,False,True,True,61,True,True,16349.51,True,4396401,Remittances,False,8.6318,7.1195,34,Yes
F0028,25,Female,Benue,Secondary,Married,3,Crop,3.4,2,True,True,False,45,False,False,0.0,False,2975031,Trading,False,7.5344,5.1219,26,No
F0029,27,Male,Kano,Primary,Married,4,Crop,1.3,8,True,True,False,88,True,True,79432.6,True,4268142,Remittances,False,8.7327,3.2617,35,Yes
F0030,30,Male,Enugu,Secondary,Single,0,Crop,3.1,2,True,True,True,21,False,False,0.0,False,2295207,Trading,False,8.9191,6.6773,27,No
F0031,24,Male,Oyo,Tertiary,Single,0,Mixed,2.8,3,False,False,True,55,True,True,40275.44,True,3512007,Trading,False,8.7854,6.3599,32,Yes
F0032,18,Female,Oyo,Secondary,Married,4,Crop,3.9,1,True,False,False,42,False,True,46150.42,False,0,Trading,False,7.6135,6.3824,7,No
F0033,18,Female,Benue,Primary,Single,0,Livestock,4.9,8,True,True,True,58,True,True,89353.81,True,4793292,Remittances,False,6.3465,6.3458,40,Yes
F0034,31,Female,Oyo,Secondary,Married,0,Crop,4.4,3,True,True,True,73,True,True,92868.08,True,3967848,Trading,False,8.3856,4.8301,50,Yes
F0035,30,Male,Kaduna,Primary,Married,5,Crop,3.9,8,True,True,True,86,True,True,37513.19,True,4342239,Trading,False,9.1179,6.8359,41,Yes
F0036,24,Male,Benue,Tertiary,Married,1,Crop,3.7,2,False,True,True,84,True,True,64872.02,True,3784104,Trading,True,8.7107,4.1337,54,Yes
F0037,35,Female,Enugu,Secondary,Single,0,Crop,2.6,2,True,True,True,77,True,True,38851.08,True,3746970,Trading,True,8.2891,5.2093,46,Yes
F0038,35,Male,Kaduna,Primary,Married,1,Livestock,4.5,8,False,False,True,34,False,True,0.0,False,3302469,Trading,False,8.1103,6.2772,10,No
F0039,28,Male,Benue,Primary,Married,2,Livestock,4.2,3,True,False,True,59,True,True,37407.09,True,3176559,Trading,True,6.9088,5.032,30,Yes
F0040,30,Female,Kaduna,Tertiary,Married,1,Crop,3.8,7,True,True,True,53,True,True,0.0,False,1585800,Trading,False,9.5474,7.4443,36,No
F0041,28,Male,Enugu,Secondary,Married,3,Crop,1.6,4,False,True,False,50,False,True,49771.71,True,4350852,Trading,False,9.1599,6.1965,20,No
F0042,20,Male,Kano,Tertiary,Single,0,Crop,3.2,9,True,True,False,69,False,True,0.0,False,1870371,Trading,False,9.9968,4.4342,25,No
F0043,21,Female,Kano,Primary,Single,0,Mixed,3.5,6,False,False,True,38,False,True,11352.03,True,4891572,Trading,False,6.5531,5.1306,20,No
F0044,19,Female,Kaduna,Secondary,Married,4,Crop,4.3,6,True,True,True,85,True,True,46150.42,True,0,Trading,False,6.7517,3.7403,50,Yes
F0045,26,Female,Kano,Secondary,Married,1,Livestock,1.7,6,True,True,True,52,True,True,52943.17,True,5020371,Trading,True,9.73,7.2975,52,Yes
F0046,19,Female,Enugu,Secondary,Single,0,Crop,4.8,8,False,True,True,74,True,True,92666.94,True,3998583,Remittances,True,7.4666,6.0956,45,Yes
F0047,25,Male,Enugu,Secondary,Married,5,Crop,4.5,9,True,False,True,32,True,True,37575.89,True,5482890,Trading,True,7.71,6.6642,42,Yes
F0048,25,Female,Benue,Primary,Married,1,Crop,1.0,7,True,False,True,45,True,True,94299.52,True,4418451,Trading,False,7.9314,6.2968,21,Yes
F0049,25,Female,Oyo,Tertiary,Married,3,Crop,1.2,1,True,False,True,87,True,False,0.0,False,2373597,Trading,False,6.8023,4.0768,37,No
F0050,32,Female,Benue,Primary,Married,0,Mixed,1.7,4,True,False,True,68,True,True,46273.49,True,5189895,Trading,False,8.5526,4.6028,35,Yes
F0051,27,Female,Kano,Secondary,Married,0,Crop,4.5,4,True,True,False,52,True,False,0.0,False,0,Trading,False,6.0805,6.7636,16,No
F0052,33,Male,Kano,Secondary,Single,2,Crop,2.5,1,True,True,False,58,True,True,46150.42,True,0,Trading,True,9.3702,4.8109,45,Yes
F0053,28,Male,Kaduna,Primary,Married,0,Crop,1.5,3,True,False,False,96,True,True,85146.11,True,5587191,Trading,True,7.7178,5.3535,29,Yes
F0054,23,Female,Benue,Primary,Single,0,Livestock,3.7,3,False,False,True,33,False,True,69521.51,True,3793950,Trading,True,8.7601,4.9359,27,Yes
F0055,33,Male,Kano,Primary,Married,2,Crop,2.4,4,True,False,True,58,True,True,87287.68,True,5894253,Trading,True,6.3052,6.6635,39,Yes
F0056,26,Male,Benue,Secondary,Married,1,Mixed,4.7,5,False,True,True,56,True,True,55519.56,True,5202405,Trading,False,6.3133,6.4411,43,Yes
F0057,26,Female,Enugu,Primary,Married,2,Mixed,2.8,1,True,True,True,54,False,True,35537.1,True,4222026,Trading,False,7.8002,4.6891,24,Yes
F0058,21,Female,Kano,Primary,Married,2,Livestock,1.7,1,True,False,True,40,False,True,78859.59,True,4513005,Trading,True,8.5924,3.0918,34,Yes
